iter	Passed	Remaining
1112	253704	202188
1113	253887	201924
1114	254083	201671
1115	254286	201424
1116	254493	201179
1117	254684	200922
1118	254900	200685
1119	255097	200433
1120	255296	200183
1121	255476	199918
1122	255666	199660
1123	255864	199410
1124	256054	199153
1125	256271	198917
1126	256444	198647
1127	256646	198400
1128	256844	198150
1129	257054	197909
1130	257263	197667
1131	257456	197413
1132	257654	197163
1133	257871	196928
1134	258069	196678
1135	258251	196416
1136	258441	196160
1137	258653	195921
1138	258838	195662
1139	259046	195421
1140	259279	195198
1141	259551	195004
1142	259841	194824
1143	260051	194583
1144	260246	194332
1145	260445	194084
1146	260613	193812
1147	260814	193566
1148	260995	193304
1149	261189	193053
1150	261378	192797
1151	261566	192542
1152	261752	192284
1153	261925	192018
1154	262124	191770
1155	262307	191511
1156	262503	191262
1157	262700	191013
1158	262899	190766
1159	263103	190522
1160	263293	190270
1161	263503	190030
1162	263698	189781
1163	263902	189538
1164	264106	189295
1165	264311	189052
1166	264497	188797
1167	264680	188539
1168	264875	188290
1169	265080	188048
1170	265272	187797
1171	265474	187553
1172	265690	187319
1173	265886	187071
1174	266084	186824
1175	266274	186573
1176	266469	186324
1177	266663	186076
1178	266836	185812
1179	267005	185546
1180	267159	185269
1181	267382	185041
1182	267579	184794
1183	267759	184536
1184	267954	184289
1185	268134	184031
1186	268353	183800
1187	268553	183556
1188	268775	183328
1189	269012	183109
1190	269214	182866
1191	269431	182634
1192	270024	182656
1193	270309	182470
1194	270557	182258
1195	270974	182159
1196	271164	181909
1197	271377	181673
1198	271613	181453
1199	271895	181263
1200	272110	181029
1201	272300	180778
1202	272499	180533
1203	272701	180291
1204	272890	180039
1205	273109	179808
1206	273335	179581
1207	273543	179342
1208	273747	179102
1209	273947	178858
1210	274160	178622
1211	274345	178369
1212	274549	178129
1213	274734	177875
1214	274929	177629
1215	275146	177396
1216	275350	177156
1217	275572	176927
1218	275782	176690
1219	275962	176434
1220	276160	176190
1221	276374	175956
1222	276574	175714
1223	276790	175481
1224	276992	175239
1225	277213	175010
1226	277410	174766
1227	277627	174534
1228	277812	174282
1229	278007	174037
1230	278233	173811
1231	278424	173563
1232	278660	173343
1233	278865	173104
1234	279104	172886
1235	279281	172630
1236	279469	172380
1237	279691	172152
1238	279892	171911
1239	280071	171656
1240	280247	171400
1241	280442	171155
1242	280621	170901
1243	280828	170664
1244	281044	170432
1245	281249	170194
1246	281442	169949
1247	281642	169707
1248	281837	169463
1249	282036	169221
1250	282210	168965
1251	282416	168728
1252	282660	168513
1253	282868	168277
1254	283103	168057
1255	283382	167863
1256	283673	167676
1257	283975	167496
1258	284469	167427
1259	284791	167258
1260	285137	167102
1261	285420	166909
1262	285650	166685
1263	285876	166459
1264	286103	166234
1265	286346	166017
1266	286553	165780
1267	286753	165539
1268	286943	165292
1269	287151	165055
1270	287367	164823
1271	287566	164582
1272	287802	164361
1273	288065	164156
1274	288285	163927
1275	288495	163691
1276	288689	163447
1277	288877	163199
1278	289072	162956
1279	289321	162743
1280	289542	162514
1281	289800	162306
1282	290076	162108
1283	290329	161897
1284	290588	161689
1285	290822	161467
1286	291067	161252
1287	291270	161012
1288	291523	160801
1289	292129	160784
1290	292690	160741
1291	293305	160727
1292	293563	160517
1293	293847	160321
1294	294258	160194
1295	294678	160072
1296	295001	159896
1297	295253	159682
1298	295554	159494
1299	295798	159276
1300	296098	159087
1301	296337	158865
1302	296542	158626
1303	296738	158382
1304	296944	158142
1305	297175	157917
1306	297364	157668
1307	297571	157430
1308	297758	157182
1309	297971	156946
1310	298158	156698
1311	298356	156455
1312	298561	156216
1313	298763	155975
1314	298943	155723
1315	299146	155483
1316	299356	155246
1317	299557	155006
1318	299755	154763
1319	299962	154526
1320	300165	154286
1321	300362	154043
1322	300560	153801
1323	300773	153567
1324	300972	153325
1325	301149	153073
1326	301361	152838
1327	301567	152600
1328	301773	152362
1329	301991	152131
1330	302199	151894
1331	302400	151654
1332	302606	151416
1333	302843	151194
1334	303084	150974
1335	303276	150730
1336	303529	150516
1337	303742	150282
1338	303952	150046
1339	304254	149856
1340	304480	149629
1341	304690	149393
1342	304940	149177
1343	305152	148943
1344	305352	148703
1345	305556	148465
1346	305748	148221
1347	305956	147985
1348	306161	147747
1349	306376	147514
1350	306633	147302
1351	306833	147062
1352	307070	146839
1353	307280	146604
1354	307469	146360
1355	307685	146128
1356	307913	145901
1357	308119	145664
1358	308325	145428
1359	308614	145230
1360	308836	145001
1361	309038	144762
1362	309247	144527
1363	309449	144288
1364	309653	144051
1365	309862	143816
1366	310080	143585
1367	310308	143358
1368	310525	143127
1369	310736	142893
1370	310970	142670
1371	311185	142437
1372	311392	142201
1373	311591	141962
1374	311801	141728
1375	312025	141499
1376	312242	141268
1377	312454	141035
1378	312684	140810
1379	312893	140575
1380	313101	140340
1381	313312	140106
1382	313525	139873
1383	313698	139623
1384	313904	139387
1385	314066	139131
1386	314244	138883
1387	314425	138637
1388	314611	138392
1389	314792	138146
1390	314980	137902
1391	315147	137650
1392	315326	137403
1393	315519	137162
1394	315685	136910
1395	315842	136654
1396	316054	136421
1397	316249	136181
1398	316427	135935
1399	316608	135689
1400	316781	135440
1401	316962	135195
1402	317144	134950
1403	317326	134705
1404	317502	134458
1405	317761	134246
1406	317960	134008
1407	318157	133770
1408	318329	133522
1409	318531	133286
1410	318752	133058
1411	318960	132825
1412	319182	132597
1413	319411	132372
1414	319624	132141
1415	319847	131914
1416	320096	131697
1417	320349	131483
1418	320596	131266
1419	320836	131046
1420	321371	130945
1421	321902	130843
1422	322228	130657
1423	322624	130499
1424	322955	130315
1425	323248	130115
1426	323499	129898
1427	323751	129681
1428	324035	129478
1429	324275	129256
1430	324531	129041
1431	324760	128815
1432	325021	128602
1433	325269	128383
1434	325533	128171
1435	325827	127971
1436	326101	127762
1437	326382	127556
1438	326638	127341
1439	326895	127125
1440	327147	126908
1441	327399	126691
1442	327641	126470
1443	327902	126255
1444	328149	126036
1445	328425	125828
1446	328694	125617
1447	328914	125387
1448	329142	125160
1449	329367	124932
1450	329618	124714
1451	329829	124481
1452	330035	124245
1453	330243	124011
1454	330449	123776
1455	330693	123555
1456	330947	123338
1457	331209	123124
1458	331506	122923
1459	331816	122726
1460	332132	122532
1461	332588	122388
1462	332971	122218
1463	333299	122027
1464	333522	121798
1465	333764	121575
1466	334041	121366
1467	334293	121147
1468	334497	120910
1469	334709	120677
1470	334904	120438
1471	335127	120208
1472	335356	119981
1473	335577	119751
1474	335800	119522
1475	336039	119298
1476	336272	119072
1477	336499	118844
1478	336727	118617
1479	336954	118389
1480	337194	118166
1481	337414	117935
1482	337655	117712
1483	337882	117484
1484	338123	117261
1485	338366	117039
1486	338586	116809
1487	338800	116576
1488	339038	116352
1489	339261	116122
1490	339506	115901
1491	339730	115672
1492	339948	115441
1493	340163	115209
1494	340398	114984
1495	340599	114747
1496	340810	114514
1497	340994	114271
1498	341160	114023
1499	341369	113789
1500	341613	113567
1501	341810	113329
1502	341990	113086
1503	342215	112858
1504	342415	112621
1505	342626	112388
1506	342836	112155
1507	343095	111938
1508	343337	111715
1509	343638	111511
1510	343888	111291
1511	344148	111074
1512	344394	110852
1513	344779	110675
1514	345415	110578
1515	345800	110400
1516	346139	110208
1517	346530	110031
1518	346798	109815
1519	347168	109632
1520	347420	109411
1521	347636	109178
1522	347857	108948
1523	348098	108723
1524	348326	108495
1525	348565	108269
1526	348828	108052
1527	349047	107821
1528	349282	107594
1529	349501	107363
1530	349740	107138
1531	349939	106900
1532	350147	106665
1533	350369	106435
1534	350614	106212
1535	350835	105981
1536	351065	105753
1537	351276	105519
1538	351508	105292
1539	351740	105065
1540	351967	104836
1541	352190	104606
1542	352427	104380
1543	352664	104154
1544	352921	103934
1545	353166	103711
1546	353498	103513
1547	353859	103323
1548	354206	103129
1549	354502	102920
1550	355001	102769
1551	355386	102585
1552	355774	102402
1553	356150	102215
1554	356479	102014
1555	356752	101798
1556	357029	101582
1557	357303	101365
1558	357576	101149
1559	357789	100914
1560	358019	100685
1561	358226	100450
1562	358473	100225
1563	358708	99997
1564	358963	99775
1565	359190	99545
1566	359467	99329
1567	359731	99109
1568	359966	98881
1569	360264	98671
1570	360480	98437
1571	360724	98212
1572	361047	98008
1573	361267	97776
1574	361526	97554
1575	361759	97326
1576	362017	97104
1577	362637	96979
1578	362940	96768
1579	363301	96573
1580	363611	96365
1581	363944	96162
1582	364216	95943
1583	364493	95725
1584	364765	95506
1585	364998	95277
1586	365182	95034
1587	365353	94789
1588	365569	94555
1589	365760	94315
1590	365976	94081
1591	366210	93853
1592	366422	93618
1593	366627	93381
1594	366919	93167
1595	367080	92920
1596	367337	92697
1597	367615	92478
1598	367833	92245
1599	368085	92021
1600	368318	91792
1601	368571	91567
1602	368760	91327
1603	369000	91099
